sample_idx,target_class,distortion_type,distorted_snr,restored_snr,clean_canny_iou,distorted_canny_iou,restored_canny_iou,clean_grabcut_iou,distorted_grabcut_iou,restored_grabcut_iou,clean_dl_f1,distorted_dl_f1,restored_dl_f1
189,horse,overexposure,1.1245925426483154,7.357077121734619,1.0,0.29608601442716476,0.2950837473192714,0.4979905541376984,0.5062992596130881,0.3890390037593985,1.0,1.0,0.0
189,horse,motion_blur,15.388595581054688,10.820804595947266,1.0,0.21125711189379573,0.16827907633641692,0.4979905541376984,0.49772947001435563,0.0,1.0,0.0,0.0
193,motorbike,salt_pepper,10.004125595092773,16.642728805541992,1.0,0.26308529674917985,0.2521152075752926,0.5452503656243471,0.575309071913634,0.568257977603772,1.0,1.0,1.0
193,motorbike,overexposure,1.8117605447769165,6.816734313964844,1.0,0.41790942673416337,0.40899204784884113,0.5452503656243471,0.014928664732726008,0.578118200017408,1.0,0.6666666666666666,1.0
193,motorbike,motion_blur,13.709457397460938,12.466559410095215,1.0,0.10219882316506658,0.1339846695149535,0.5452503656243471,0.6195418144642885,0.5975206898949857,1.0,0.6666666666666666,0.6666666666666666
197,person,salt_pepper,9.342662811279297,21.213748931884766,1.0,0.14026766051160428,0.273040058982551,0.3690401028878756,0.4030102094516367,0.3501912303067872,0.6666666666666666,0.6666666666666666,0.6666666666666666
197,person,overexposure,-1.1108276844024658,8.149538040161133,1.0,0.3627414854977102,0.33777383066903494,0.3690401028878756,0.24376869391824527,0.46005029533890873,0.6666666666666666,0.6666666666666666,0.6666666666666666
197,person,motion_blur,16.017044067382812,15.067362785339355,1.0,0.05920829085966701,0.09672161975803924,0.3690401028878756,0.4065717287265087,0.3555366050255248,0.6666666666666666,0.6666666666666666,0.6666666666666666
203,person,salt_pepper,11.129908561706543,19.130146026611328,1.0,0.24225045730953676,0.25208472314876584,0.1457671766743649,0.12872139677188868,0.14689692390717754,1.0,1.0,1.0
203,person,overexposure,3.4665894508361816,6.529847145080566,1.0,0.396083280419744,0.4067083803467022,0.1457671766743649,0.033090366934481905,0.06535304464360499,1.0,1.0,1.0
203,person,motion_blur,16.3896541595459,14.37618350982666,1.0,0.12022286421791167,0.14793171549928308,0.1457671766743649,0.13803230543318648,0.0029907402082015298,1.0,1.0,1.0
211,bird,salt_pepper,11.447052001953125,24.923152923583984,1.0,0.1245588625283042,0.46704924102184375,0.7375754760798885,0.033214709371293,0.698896247240618,1.0,1.0,1.0
211,bird,overexposure,4.124705791473389,6.981459140777588,1.0,0.39684903589904374,0.42612830566446985,0.7375754760798885,0.7404115996258185,0.7562945368171021,1.0,1.0,1.0
211,bird,motion_blur,17.125957489013672,16.901893615722656,1.0,0.11096456519827662,0.12526096033402923,0.7375754760798885,0.6032528339083292,0.0,1.0,1.0,1.0
212,cat,salt_pepper,13.226736068725586,23.990232467651367,1.0,0.11447491173834305,0.3216700970302852,0.9928876244665719,0.027777777777777776,0.8047652916073968,0.0,0.0,0.0
212,cat,overexposure,5.195621967315674,5.887685775756836,1.0,0.4182959641255605,0.41755053938899467,0.9928876244665719,0.7475106685633002,0.7742623533594027,0.0,0.0,0.0
212,cat,motion_blur,20.084426879882812,18.704578399658203,1.0,0.09438369253636267,0.10240878997041837,0.9928876244665719,0.09724186704384724,0.20502354788069074,0.0,0.0,0.0
215,dog,salt_pepper,11.249751091003418,18.56057357788086,1.0,0.2858316922265813,0.14093043391388324,0.7839492909325312,0.7028336604514229,0.8224157303370786,0.6666666666666666,0.6666666666666666,0.6666666666666666
215,dog,overexposure,1.5393508672714233,8.012760162353516,1.0,0.13891088795260872,0.13140493277758625,0.7839492909325312,0.619372257846777,0.6202286378608797,0.6666666666666666,0.6666666666666666,0.6666666666666666
215,dog,motion_blur,15.62612533569336,13.622102737426758,1.0,0.07909585316111489,0.13714487799127667,0.7839492909325312,0.6115505335844319,0.10552224676554119,0.6666666666666666,0.5,0.4
226,bottle,salt_pepper,10.107569694519043,21.515893936157227,1.0,0.1377506389255759,0.32646048109965636,0.9635789123565608,0.8759311372289356,0.9634847853272197,0.6666666666666666,0.6666666666666666,0.6666666666666666
226,bottle,overexposure,-0.15762315690517426,9.05125904083252,1.0,0.35109835247129306,0.3508412491463339,0.9635789123565608,0.5971045488196101,0.8562630045776113,0.6666666666666666,0.0,0.0
226,bottle,motion_blur,16.247108459472656,15.395216941833496,1.0,0.0538951099653589,0.10872980956570925,0.9635789123565608,0.8666000499625282,0.8079632967393086,0.6666666666666666,0.0,0.6666666666666666
229,cow,salt_pepper,7.676699161529541,15.251358032226562,1.0,0.21633929178277714,0.18348534834077238,0.9697800446286261,0.8988543020303056,0.9791850506099143,0.6666666666666666,0.0,0.6666666666666666
229,cow,overexposure,-1.1037153005599976,8.348037719726562,1.0,0.3740392826643894,0.3614862476136605,0.9697800446286261,0.9715214564369311,0.9560649598876595,0.6666666666666666,0.6666666666666666,0.6666666666666666
