sample_index,condition,distortion_type,severity_level,clean_reference_f1,distorted_clean_control_f1,restored_clean_control_f1,distorted_distortion_aware_f1
567,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4121,Salt & Pepper L4,salt_pepper,4,1.0,0.800000011920929,1.0,1.0
1472,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3248,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1826,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,1.0,0.6666666865348816
1657,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
306,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
471,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,1.0
690,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.5,0.800000011920929,0.6666666865348816
4741,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
74,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,1.0
5053,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2566,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4685,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
491,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,0.6666666865348816
4483,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1274,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
964,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1844,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.6666666865348816
3195,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.5,0.5,0.800000011920929
4623,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3859,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3271,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3749,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.4000000059604645,0.5714285969734192,0.6666666865348816
5545,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.0,0.0,0.0
984,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,1.0,0.6666666865348816
4865,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,0.6666666865348816
5415,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1418,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
494,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.5,0.6666666865348816
1226,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
5060,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3477,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
358,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3353,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5646,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.6666666865348816,0.6666666865348816
1839,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3443,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2355,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3936,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1603,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4357,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,1.0,1.0
4457,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.0,0.6666666865348816
3110,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
5681,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
55,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5542,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.5,0.5,1.0
4874,Salt & Pepper L4,salt_pepper,4,0.5,0.0,0.0,0.5
2080,Salt & Pepper L4,salt_pepper,4,0.5,0.6666666865348816,0.5,0.5
2074,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3717,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.6666666865348816,1.0
4072,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,0.6666666865348816
152,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2626,Salt & Pepper L4,salt_pepper,4,1.0,0.800000011920929,1.0,0.800000011920929
2841,Salt & Pepper L4,salt_pepper,4,0.5,0.6666666865348816,0.5,0.5
742,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2911,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.0,0.6666666865348816,1.0
5538,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
2021,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
