model,condition,distortion_type,class,mean_snr,class_f1_score,support,predicted_positive
clean_trained_resnet50,overexposure_3,overexposure,motorbike,1.237467208316084,0.7692307692307693,13,13
clean_trained_resnet50,overexposure_3,overexposure,person,1.237467208316084,0.8208469055374593,153,154
clean_trained_resnet50,overexposure_3,overexposure,pottedplant,1.237467208316084,0.47058823529411764,22,12
clean_trained_resnet50,overexposure_3,overexposure,sheep,1.237467208316084,0.6153846153846154,8,5
clean_trained_resnet50,overexposure_3,overexposure,sofa,1.237467208316084,0.5526315789473685,39,37
clean_trained_resnet50,overexposure_3,overexposure,train,1.237467208316084,0.9285714285714286,14,14
clean_trained_resnet50,overexposure_3,overexposure,tvmonitor,1.237467208316084,0.7647058823529411,20,14
fine_tuned_resnet50,overexposure_3,overexposure,aeroplane,1.237467208316084,0.9,31,29
fine_tuned_resnet50,overexposure_3,overexposure,bicycle,1.237467208316084,0.7317073170731707,18,23
fine_tuned_resnet50,overexposure_3,overexposure,bird,1.237467208316084,0.7272727272727273,16,17
fine_tuned_resnet50,overexposure_3,overexposure,boat,1.237467208316084,0.8571428571428571,14,14
fine_tuned_resnet50,overexposure_3,overexposure,bottle,1.237467208316084,0.5925925925925926,28,26
fine_tuned_resnet50,overexposure_3,overexposure,bus,1.237467208316084,0.7272727272727273,9,13
fine_tuned_resnet50,overexposure_3,overexposure,car,1.237467208316084,0.6987951807228916,43,40
fine_tuned_resnet50,overexposure_3,overexposure,cat,1.237467208316084,0.9315068493150684,35,38
fine_tuned_resnet50,overexposure_3,overexposure,chair,1.237467208316084,0.7017543859649122,58,56
fine_tuned_resnet50,overexposure_3,overexposure,cow,1.237467208316084,0.64,10,15
fine_tuned_resnet50,overexposure_3,overexposure,diningtable,1.237467208316084,0.6440677966101694,25,34
fine_tuned_resnet50,overexposure_3,overexposure,dog,1.237467208316084,0.7931034482758621,53,63
fine_tuned_resnet50,overexposure_3,overexposure,horse,1.237467208316084,0.6206896551724138,14,15
fine_tuned_resnet50,overexposure_3,overexposure,motorbike,1.237467208316084,0.8148148148148148,13,14
fine_tuned_resnet50,overexposure_3,overexposure,person,1.237467208316084,0.8366013071895425,153,153
fine_tuned_resnet50,overexposure_3,overexposure,pottedplant,1.237467208316084,0.41025641025641024,22,17
fine_tuned_resnet50,overexposure_3,overexposure,sheep,1.237467208316084,0.8235294117647058,8,9
fine_tuned_resnet50,overexposure_3,overexposure,sofa,1.237467208316084,0.5977011494252874,39,48
fine_tuned_resnet50,overexposure_3,overexposure,train,1.237467208316084,0.9333333333333333,14,16
fine_tuned_resnet50,overexposure_3,overexposure,tvmonitor,1.237467208316084,0.6415094339622641,20,33
clean_trained_resnet50,overexposure_6,overexposure,aeroplane,-2.189091262686998,0.0,31,2
clean_trained_resnet50,overexposure_6,overexposure,bicycle,-2.189091262686998,0.0,18,0
clean_trained_resnet50,overexposure_6,overexposure,bird,-2.189091262686998,0.0,16,0
clean_trained_resnet50,overexposure_6,overexposure,boat,-2.189091262686998,0.0,14,0
clean_trained_resnet50,overexposure_6,overexposure,bottle,-2.189091262686998,0.0,28,0
clean_trained_resnet50,overexposure_6,overexposure,bus,-2.189091262686998,0.2,9,1
clean_trained_resnet50,overexposure_6,overexposure,car,-2.189091262686998,0.045454545454545456,43,1
clean_trained_resnet50,overexposure_6,overexposure,cat,-2.189091262686998,0.05263157894736842,35,3
clean_trained_resnet50,overexposure_6,overexposure,chair,-2.189091262686998,0.0,58,0
clean_trained_resnet50,overexposure_6,overexposure,cow,-2.189091262686998,0.0,10,0
clean_trained_resnet50,overexposure_6,overexposure,diningtable,-2.189091262686998,0.0,25,0
clean_trained_resnet50,overexposure_6,overexposure,dog,-2.189091262686998,0.037037037037037035,53,1
clean_trained_resnet50,overexposure_6,overexposure,horse,-2.189091262686998,0.0,14,0
clean_trained_resnet50,overexposure_6,overexposure,motorbike,-2.189091262686998,0.0,13,0
clean_trained_resnet50,overexposure_6,overexposure,person,-2.189091262686998,0.05063291139240506,153,5
clean_trained_resnet50,overexposure_6,overexposure,pottedplant,-2.189091262686998,0.0,22,0
clean_trained_resnet50,overexposure_6,overexposure,sheep,-2.189091262686998,0.0,8,0
clean_trained_resnet50,overexposure_6,overexposure,sofa,-2.189091262686998,0.0,39,0
clean_trained_resnet50,overexposure_6,overexposure,train,-2.189091262686998,0.0,14,0
clean_trained_resnet50,overexposure_6,overexposure,tvmonitor,-2.189091262686998,0.0,20,0
fine_tuned_resnet50,overexposure_6,overexposure,aeroplane,-2.189091262686998,0.2222222222222222,31,14
fine_tuned_resnet50,overexposure_6,overexposure,bicycle,-2.189091262686998,0.19047619047619047,18,3
fine_tuned_resnet50,overexposure_6,overexposure,bird,-2.189091262686998,0.0,16,0
fine_tuned_resnet50,overexposure_6,overexposure,boat,-2.189091262686998,0.0,14,2
fine_tuned_resnet50,overexposure_6,overexposure,bottle,-2.189091262686998,0.0,28,0
fine_tuned_resnet50,overexposure_6,overexposure,bus,-2.189091262686998,0.2,9,1
fine_tuned_resnet50,overexposure_6,overexposure,car,-2.189091262686998,0.043478260869565216,43,3
fine_tuned_resnet50,overexposure_6,overexposure,cat,-2.189091262686998,0.10256410256410256,35,4
fine_tuned_resnet50,overexposure_6,overexposure,chair,-2.189091262686998,0.03278688524590164,58,3
fine_tuned_resnet50,overexposure_6,overexposure,cow,-2.189091262686998,0.0,10,0
fine_tuned_resnet50,overexposure_6,overexposure,diningtable,-2.189091262686998,0.0,25,0
fine_tuned_resnet50,overexposure_6,overexposure,dog,-2.189091262686998,0.21621621621621623,53,21
fine_tuned_resnet50,overexposure_6,overexposure,horse,-2.189091262686998,0.0,14,0
fine_tuned_resnet50,overexposure_6,overexposure,motorbike,-2.189091262686998,0.14285714285714285,13,1
fine_tuned_resnet50,overexposure_6,overexposure,person,-2.189091262686998,0.5542635658914729,153,363
fine_tuned_resnet50,overexposure_6,overexposure,pottedplant,-2.189091262686998,0.0,22,0
fine_tuned_resnet50,overexposure_6,overexposure,sheep,-2.189091262686998,0.0,8,1
